No;Title;Date;Company;Manpower;Manhour;Safe Manhour;Item Type;Path
1;Mar-22;01/03/2022;BJP;12;1016;1016;Item;sites/BJS-HSE/Lists/Manpower and Manhour
2;Mar-22;01/03/2022;BJS;285;24985;24985;Item;sites/BJS-HSE/Lists/Manpower and Manhour
3;Mar-22;01/03/2022;Permanent Contractor;137;14956;14956;Item;sites/BJS-HSE/Lists/Manpower and Manhour
4;Mar-22;01/03/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
5;Apr-22;01/04/2022;BJP;12;1548;1548;Item;sites/BJS-HSE/Lists/Manpower and Manhour
6;Apr-22;01/04/2022;BJS;285;37180;37180;Item;sites/BJS-HSE/Lists/Manpower and Manhour
7;Apr-22;01/04/2022;Permanent Contractor;182;33772;33772;Item;sites/BJS-HSE/Lists/Manpower and Manhour
8;Apr-22;01/04/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
9;May-22;01/05/2022;BJP;13;1853;1853;Item;sites/BJS-HSE/Lists/Manpower and Manhour
10;May-22;01/05/2022;BJS;288;49176;49176;Item;sites/BJS-HSE/Lists/Manpower and Manhour
11;May-22;01/05/2022;Permanent Contractor;184;40486;40486;Item;sites/BJS-HSE/Lists/Manpower and Manhour
12;May-22;01/05/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
13;Jun-22;01/06/2022;BJP;13;2084;2084;Item;sites/BJS-HSE/Lists/Manpower and Manhour
14;Jun-22;01/06/2022;BJS;287;47584;47584;Item;sites/BJS-HSE/Lists/Manpower and Manhour
15;Jun-22;01/06/2022;Permanent Contractor;590;115567;115567;Item;sites/BJS-HSE/Lists/Manpower and Manhour
16;Jun-22;01/06/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
17;Jul-22;01/07/2022;BJP;10;1808;1808;Item;sites/BJS-HSE/Lists/Manpower and Manhour
18;Jul-22;01/07/2022;BJS;285;46592;46592;Item;sites/BJS-HSE/Lists/Manpower and Manhour
19;Jul-22;01/07/2022;Permanent Contractor;606;111287;111287;Item;sites/BJS-HSE/Lists/Manpower and Manhour
20;Jul-22;01/07/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
21;Aug-22;01/08/2022;BJP;10;1732;1732;Item;sites/BJS-HSE/Lists/Manpower and Manhour
22;Aug-22;01/08/2022;BJS;286;48220;48220;Item;sites/BJS-HSE/Lists/Manpower and Manhour
23;Aug-22;01/08/2022;Permanent Contractor;584;112982;112982;Item;sites/BJS-HSE/Lists/Manpower and Manhour
24;Aug-22;01/08/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
25;Sep-22;01/09/2022;BJP;10;1508;1508;Item;sites/BJS-HSE/Lists/Manpower and Manhour
26;Sep-22;01/09/2022;BJS;284;47632;47632;Item;sites/BJS-HSE/Lists/Manpower and Manhour
27;Sep-22;01/09/2022;Permanent Contractor;479;73568;73568;Item;sites/BJS-HSE/Lists/Manpower and Manhour
28;Sep-22;01/09/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
29;Oct-22;01/10/2022;BJP;10;1484;1484;Item;sites/BJS-HSE/Lists/Manpower and Manhour
30;Oct-22;01/10/2022;BJS;286;46928;46928;Item;sites/BJS-HSE/Lists/Manpower and Manhour
31;Oct-22;01/10/2022;Permanent Contractor;475;72859;72859;Item;sites/BJS-HSE/Lists/Manpower and Manhour
32;Oct-22;01/10/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
33;Nov-22;01/11/2022;BJP;10;1634;1634;Item;sites/BJS-HSE/Lists/Manpower and Manhour
34;Nov-22;01/11/2022;BJS;288;49176;49176;Item;sites/BJS-HSE/Lists/Manpower and Manhour
35;Nov-22;01/11/2022;Permanent Contractor;478;71961;71961;Item;sites/BJS-HSE/Lists/Manpower and Manhour
36;Nov-22;01/11/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
37;Dec-22;01/12/2022;BJP;10;1629;1629;Item;sites/BJS-HSE/Lists/Manpower and Manhour
38;Dec-22;01/12/2022;BJS;286;47576;47576;Item;sites/BJS-HSE/Lists/Manpower and Manhour
39;Dec-22;01/12/2022;Permanent Contractor;480;71979;71979;Item;sites/BJS-HSE/Lists/Manpower and Manhour
40;Dec-22;01/12/2022;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
41;Jan-23;01/01/2023;BJP;7;1140;1140;Item;sites/BJS-HSE/Lists/Manpower and Manhour
42;Jan-23;01/01/2023;BJS;289;50768;50768;Item;sites/BJS-HSE/Lists/Manpower and Manhour
43;Jan-23;01/01/2023;Permanent Contractor;515;95332;95332;Item;sites/BJS-HSE/Lists/Manpower and Manhour
44;Jan-23;01/01/2023;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
45;Feb-23;01/02/2023;BJP;9;1296;1296;Item;sites/BJS-HSE/Lists/Manpower and Manhour
46;Feb-23;01/02/2023;BJS;293;42792;42792;Item;sites/BJS-HSE/Lists/Manpower and Manhour
47;Feb-23;01/02/2023;Permanent Contractor;517;90079;90079;Item;sites/BJS-HSE/Lists/Manpower and Manhour
48;Feb-23;01/02/2023;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
49;Mar-23;01/03/2023;BJP;10;1656;1656;Item;sites/BJS-HSE/Lists/Manpower and Manhour
50;Mar-23;01/03/2023;BJS;294;54477;54477;Item;sites/BJS-HSE/Lists/Manpower and Manhour
51;Mar-23;01/03/2023;Permanent Contractor;566;99907;99907;Item;sites/BJS-HSE/Lists/Manpower and Manhour
52;Mar-23;01/03/2023;Outage Contractor;0;0;0;Item;sites/BJS-HSE/Lists/Manpower and Manhour
53;Apr-23;01/04/2023;BJP;10;1360;1360;Item;sites/BJS-HSE/Lists/Manpower and Manhour
54;Apr-23;01/04/2023;BJS;299;46739;46739;Item;sites/BJS-HSE/Lists/Manpower and Manhour
